Year	Month1	Month2	Month3	Month4	Month5	Month6	Month7	Month8	Month9	Month10	Month11	Month12	bptdiff2	energyDemandTwh
0.64	0	0	1	0	0	0	0	0	0	0	0	0	0.082345763	0.22422936
0.64	0	0	0	1	0	0	0	0	0	0	0	0	0.005019104	0.21616639
0.64	0	0	0	0	1	0	0	0	0	0	0	0	0.03541661	0.222599729
0.64	0	0	0	0	0	1	0	0	0	0	0	0	0.368418274	0.23411762
0.64	0	0	0	0	0	0	1	0	0	0	0	0	0.589872067	0.247495199
0.64	0	0	0	0	0	0	0	1	0	0	0	0	0.618902641	0.266890933
0.64	0	0	0	0	0	0	0	0	1	0	0	0	0.23053181	0.216418828
0.64	0	0	0	0	0	0	0	0	0	1	0	0	0.016076019	0.223647366
0.64	0	0	0	0	0	0	0	0	0	0	1	0	0.061857222	0.231825168
0.64	0	0	0	0	0	0	0	0	0	0	0	1	0.523753064	0.255807821
0.68	1	0	0	0	0	0	0	0	0	0	0	0	0.629738757	0.255859919
0.68	0	1	0	0	0	0	0	0	0	0	0	0	0.358462959	0.228838177
0.68	0	0	1	0	0	0	0	0	0	0	0	0	0.114602315	0.240563744
0.68	0	0	0	1	0	0	0	0	0	0	0	0	0.017922364	0.224318565
0.68	0	0	0	0	1	0	0	0	0	0	0	0	0.033770884	0.233411971
0.68	0	0	0	0	0	1	0	0	0	0	0	0	0.281522571	0.228602367
0.68	0	0	0	0	0	0	1	0	0	0	0	0	0.591266765	0.283843304
0.68	0	0	0	0	0	0	0	1	0	0	0	0	0.582155	0.281007239
0.68	0	0	0	0	0	0	0	0	1	0	0	0	0.332360021	0.244726483
0.68	0	0	0	0	0	0	0	0	0	1	0	0	0.006883755	0.238863758
0.68	0	0	0	0	0	0	0	0	0	0	1	0	0.04820084	0.245650804
0.68	0	0	0	0	0	0	0	0	0	0	0	1	0.145454004	0.261334856
0.72	1	0	0	0	0	0	0	0	0	0	0	0	0.294198356	0.262117331
0.72	0	1	0	0	0	0	0	0	0	0	0	0	0.184728391	0.232308724
0.72	0	0	1	0	0	0	0	0	0	0	0	0	0.056662703	0.247291328
0.72	0	0	0	1	0	0	0	0	0	0	0	0	0.002300822	0.235865424
0.72	0	0	0	0	1	0	0	0	0	0	0	0	0.098753697	0.239646809
0.72	0	0	0	0	0	1	0	0	0	0	0	0	0.328620442	0.238556637
0.72	0	0	0	0	0	0	1	0	0	0	0	0	0.597611578	0.292157114
0.72	0	0	0	0	0	0	0	1	0	0	0	0	0.653448054	0.275594737
0.72	0	0	0	0	0	0	0	0	1	0	0	0	0.275190174	0.250519595
0.72	0	0	0	0	0	0	0	0	0	1	0	0	0.035501893	0.233758001
0.72	0	0	0	0	0	0	0	0	0	0	1	0	0.024358405	0.238486639
0.72	0	0	0	0	0	0	0	0	0	0	0	1	0.272588036	0.254789341
0.76	1	0	0	0	0	0	0	0	0	0	0	0	0.348511976	0.257358
0.76	0	1	0	0	0	0	0	0	0	0	0	0	0.285193818	0.231965
0.76	0	0	1	0	0	0	0	0	0	0	0	0	0.118352289	0.246321
0.76	0	0	0	1	0	0	0	0	0	0	0	0	0.086634068	0.234186
